"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","undefined","535476","mastercard-debit","MasterCard","mixed","11","2","5","it","45","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","it","39","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","0","5","it","86","false"
"-3","BANCO POPOLARE SOCIETA COOPERATIVA","540047","standard","MasterCard","mixed","11","0","5","it","49","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","1","5","com","40","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","0","5","it","49","false"
"-3","BANCO POPOLARE SOCIETA COOPERATIVA","540058","standard","MasterCard","mixed","11","2","5","com","47","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","0","5","com","39","false"
"-3","undefined","528287","standard","MasterCard","mixed","11","3","5","com","31","false"
"-3","UNICREDIT S.P.A.","482498","classic","VISA card","mixed","11","4","5","com","28","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","3","5","com","89","false"
"-3","undefined","535476","mastercard-debit","MasterCard","mixed","11","0","5","it","20","false"
"-3","POSTE ITALIANE","536414","standard","MasterCard","mixed","11","0","5","com","47","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","29","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","11","0","5","com","undefined","false"
"-3","INTESA SANPAOLO S.P.A.","530514","standard","MasterCard","mixed","11","0","5","it","47","false"
"-3","undefined","437863","classic","VISA card","mixed","11","0","5","com","09","false"
"-3","BANCA NAZIONALE DEL LAVORO S.P.A.","522701","standard","MasterCard","mixed","11","0","5","com","29","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","29","false"
"-3","TELLER A/S","517023","standard","MasterCard","mixed","11","2","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","4","5","com","40","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","2","5","it","45","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","29","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","33","false"
"-3","INTESA SANPAOLO S.P.A.","539832","standard","MasterCard","mixed","11","2","5","com","91","false"
"-3","CARTASI S.P.A.","405785","classic","VISA card","mixed","11","0","5","it","47","false"
"-3","BANCA NAZIONALE DEL LAVORO S.P.A. - BNL","543013","standard","MasterCard","mixed","11","2","5","com","20","false"
"-3","AGOS S.P.A.","430152","classic","VISA card","mixed","11","0","5","com","49","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","lowercase","11","0","5","it","49","false"
"-3","PBS INTERNATIONAL A/S","457123","classic","VISA card","mixed","11","0","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","0","5","com","40","false"
"-3","CARTASI S.P.A.","408089","classic","VISA card","mixed","11","1","5","com","66","false"
"-3","PBS INTERNATIONAL A/S","457126","classic","VISA card","mixed","11","0","5","dk","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","0","5","com","38","false"
"-3","CREDITO EMILIANO S.P.A.","531340","standard","MasterCard","mixed","11","0","5","it","49","false"
"-3","CARTASI S.P.A.","453999","classic","VISA card","mixed","11","0","5","com","39","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","lowercase","11","0","5","com","75","false"
"-3","BANCA SELLA S.P.A.","533875","standard","MasterCard","mixed","11","4","5","com","38","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","51","false"
"-3","CREDITO EMILIANO S.P.A.","518964","standard","MasterCard","mixed","11","0","5","com","46","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","2","5","com","33","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","44","false"
"-3","NORDEA BANK DANMARK A/S","402620","classic","VISA card","mixed","11","1","5","com","undefined","false"
"-3","INTESA SANPAOLO S.P.A.","534207","standard","MasterCard","mixed","11","3","5","com","49","false"
"-3","undefined","535570","mastercard-debit","MasterCard","mixed","11","4","5","it","49","false"
"-3","CARTASI S.P.A.","453997","classic","VISA card","uppercase","11","2","5","com","46","false"
"-3","BANCO POPOLARE SOCIETA COOPERATIVA","540058","standard","MasterCard","mixed","11","0","5","com","92","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","4","5","com","49","false"
"-3","BANCA SELLA S.P.A.","533875","standard","MasterCard","mixed","11","0","5","com","29","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","11","0","5","it","89","false"
"-3","PBS INTERNATIONAL A/S","457168","classic","VISA card","mixed","11","4","5","com","undefined","true"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","11","2","5","com","29","true"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402361","classic","VISA card","mixed","11","2","5","com","40","false"
"-3","BANCA NAZIONALE DEL LAVORO S.P.A.","522701","standard","MasterCard","mixed","11","2","5","com","33","false"
"-3","undefined","534413","standard","MasterCard","mixed","11","3","5","com","39","false"
